gen,best_fitness,avg_fitness,min_fitness,amplitude,period,duty_cycle,arm_angle_deg,arm_length
1,6.717633,0.507481,0.000000,1.4145,443,0.7503,114.70,1.3926
2,8.883001,1.091859,0.000000,1.4145,436,0.7268,135.54,1.5000
3,9.744888,2.190944,0.000000,1.0175,218,0.8322,98.74,1.0943
4,15.126679,4.212069,0.000000,0.6215,133,0.7760,84.19,1.3000
5,15.126679,5.543758,0.000000,0.6215,133,0.7760,84.19,1.3000
