gen,best_fitness,avg_fitness,min_fitness,best_energy,avg_energy,min_energy,best_distance,avg_distance,min_distance,member,amplitude,period,duty_cycle,arm_angle_deg,arm_length,member_fitness,member_distance,member_energy
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,1,0.7967,153,0.4059,68.42,0.8777,0.614747,0.970791,0.309065
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,2,1.3865,434,0.1517,133.19,0.7880,0.684734,1.160843,0.683233
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,3,0.7191,474,0.3963,119.83,1.1220,0.045151,0.187585,0.639031
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,4,1.8644,103,0.0983,125.68,0.8559,4.404036,7.850526,15.956517
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,5,1.4883,355,0.1459,70.93,0.7130,0.526826,1.419915,4.891344
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,6,1.8744,158,0.1840,24.90,0.9943,0.000000,0.000000,0.000000
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,7,0.9419,118,0.6481,18.19,0.7506,0.078446,0.385790,4.221483
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,8,0.6976,417,0.7610,48.84,1.2927,0.307017,0.569791,0.160733
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,9,1.2555,170,0.5697,101.04,1.0836,12.105387,9.058485,1.567975
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,10,1.5014,212,0.1863,85.79,0.5578,0.477989,1.297783,4.380808
1,12.105387,1.169436,0.000000,52.086426,3.680559,0.000000,11.589765,1.559711,0.000000,11,1.1897,233,0.2233,134.30,1.0000,3.174416,3.387659,0.929681
